Project,Year,Domain
CRM,2009,Networking
 Developing IPv6 Forwarding Entity,2009,Networking
Asset & Configuration Management for LAN,2009,Networking
Hybrid Intrusion Detection System(Hids),2009,Networking
Lan Search Engine,2009,Networking
Advance Network Banking,2009,Networking
 Proxy Hunter,2009,Networking
Ip And E-Mail Tracer,2009,Networking
iSCSI Protocol Implementation,2009,Networking
Call Xpress,2009,Networking
NetSecMobile,2009,Networking
Redio Frequency Identification,2009,Networking
Quantum 3D,2009,Networking
Network Device Management System,2009,Networking
Secure Code Login for Banking,2009,Networking
Intrusion Detection by Using Genetic Algorithm,2009,Networking
Mobile LAN Controller,2009,Networking
Brain Tumor Detection Using Neural Network,2009,Neural Networks
Real-time Optical Character Recognition for Handwritten Script,2009,OS
Small operating system,2009,OS
Optimizing application performance on Mulicore processors using Cilk++,2009,Parallel Processing
Business Intelligence Techniques for Advertise Serving,2009,PHP
Networkstation,2009,Java
HIDS (hybrid intrusion detection system),2009,Secure Computing
Pratibimb- Personal Intelligence Mirror,2009,Software Engineering
To develop feature enhancements in Jameleon & open source test automation tool. The enhancements are planned in order to make jameleon a compete test automation suite,2009,Testing
Test Framework to Test ODBC Driver,2009,Testing
Rules Engine for popularity Based Ranking,2009,Web Based
Website Builder Tool,2009,Web Based
Comprehensive Online Testing System ( COLTS),2009,Web Based
Cummins Alumni- Stay Connected,2009,Web Based
Online B2B Trade Portal,2009,Web Based
Web Based Advertising Delivery System,2009,Web Based
Braille Printer,2010,.net
Speech Application Language Tag.,2010,.net
PC Based 3 phase industrial load protected,2010,.net
Technology Proof Cloud Computing Based Image Processing,2010,.net
Export System,2010,.net
Download Video from Youtube,2010,.net
Bluetooth based Smart Home,2010,.net
Automatic Identification & Data Capture Techniques,2010,.net
Online Compiler,2010,.net
SCORM based Learning Management System,2010,.net
Face Recognition using XML based Image Indexing,2010,.net
Database Translation Application,2010,.net
Java Code to Flow Diagram Converter & Code Reducer,2010,Computer Science
Project Scheduling & Quality Assurance,2010,Computer Science
Extracting Meaning ful Insights from Blogs,2010,Computer Science
Interactive E-learning for Geometry,2010,Computer Science
"toyMAIL,a SOA  based Emailing System",2010,Computer Science
Universal Monitoring  Tool For different virtualization environments,2010,Computer Science
SFTA,2010,Computer Science
Novel Platform For Collaborative Task Tracking and Performance Measurement,2010,Computer Science
Developing  a  Authentication library for Web Applications,2010,Computer Science
Benchmarking of ORM tools,2010,Computer Science
Monitoring  Microsoft Exchange Server 2007,2010,Computer Science
Devnagiri Text to Speech Converter,2010,Computer Science
SMI_S  compliant SAN Programs,2010,Computer Science
Online Polling and e-Discussion,2010,Computer Science
Remote Linux Based Web Server Management tool,2010,Computer Science
Monitoring of Microsoft OCS Server,2010,Computer Science
Using Mobile Phone  Camera as Webcam,2010,Computer Science
Importance Aware Twitter Client,2010,Computer Science
Data Mining In Social Network,2010,Data Mining
An Intelligent Approach of Data Mining for XML Documents,2010,Data Mining
Mining Data Streams,2010,Data Mining
Face Tracking,2010,Image Processing
Image Segmentation For 2D Medical Images,2010,Image Processing
Virtual Mouse for a Presentation Using Hand Gesture Recognition,2010,Image Processing
Application Oriented Customizable Interface,2010,Image Processing
Finger Print Detection,2010,Image Processing
Application For using Mobile Phone Camera as web Camera,2010,Image Processing
Wireless Intrusion Detection System,2010,Intrusion Detection System
JC2S: Java Class to Source Converter: Decaffinator,2010,Java
JNN: Java Net Nanny,2010,Java
Detection of Routing Misbehavior in MANETs,2010,Java
Stegnography,2010,Java
WAP Based Control System,2010,Java
Web Search Using Voice Recognization System (Web Crowler),2010,Java
GSM based LAN monitoring and control,2010,Java
CTM DAW,2010,Java
Improving ATM security using Flash Code Services,2010,Java
 Centralized Controling of Peripheral Using RF,2010,Java
Railway Restrain and Accident Prevention.,2010,Java
Server Management In Secure Online Voting System,2010,Java
Intelligent Attendance Support System and Security Gate pass,2010,Java
Computer Reinforced Online Multimedia Education (Crome) System,2010,Java
Wireless Intelligent Video Surveillance System,2010,Java
Agent Based Brainstroming using Sematic  Ideation Learning,2010,Java
Optimized Advertising by Analysis and Anticipation of Customer behavior,2010,Java
Online Linux Server Control,2010,Linux
Network Secure Control,2010,Linux
Mitigation Of Xss Attacks Using Signature Based Model,2010,Networking
Wireless Intrusion Detection System,2010,Networking
Secure Three Party QKDP For Real-Time Services,2010,Networking
High Performance Cluster Architecture,2010,Networking
Integrating Web Services And Broadcasting Using SOA,2010,Networking
IEEE 802.11g Based P2p Articulation Using JXTA,2010,Networking
Truth Discovery with Multiple Conflicting Information Providers on the Web,2010,Networking
Presentation tool by  using Cloud Computing,2010,Networking
Peer to Peer Backup System,2010,Networking
Port Independent Protocol Identification,2010,Networking
Desktop Fay,2010,Networking
Linux Mobile Web Runtime,2010,Networking
Generic Honeypot Toolkit,2010,Networking
High Speed Cluster Computing,2010,Networking
SMS as a Transport Layer API,2010,Networking
Real Time Machines Online Terminal,2010,Networking
Design and Implementation of Multi-mode QC-LDPC Decode,2010,VLSI
E- Business Chain,2010,Web Based
Filter Fox A Mozilla Firefox Extention,2010,"XML, AJAX"
[OPEN SOURCE],2011,Computer Science
Social N/W Site,2011,Computer Science
PATH FINDER,2011,Networking
I-CODE,2011,Networking
Social Profile Conglomeration,2011,Networking
Content Based Routing,2011,Networking
Geoprofile,2011,Networking
C2DM Android cloud to device messaging framework ,2011,Networking
TraveLOG,2011,Networking
Vision Based Gesture Operated System,2011,OS
Intelligent User Behavior Mgt in Virtual Env. ,2011,OS
FILE LEVEL DEDUPLICATION BTRSS,2011,OS
System Call in Linux Kernel,2011,OS
AUTOMATION OF VDI MGT Via power shell (Virtual Desktop Infra),2011,Software Engineering
Data Encoding Schemes in Networks on Chip,2011,VLSI
A Spurious-Power Suppression Technique for Multimedia/DSP Applications (MAC),2011,VLSI
Web Agent based distributed learning environment,2011,Web Based
XSD to Dummy XML Conversion ,2011,Web Based
Web page for Review,2011,Web Based
Institute Mgt System,2011,Web Based
Meta Search Engine,2012,Computer Science
Interactive Reading Toolbar,2012,Computer Science
Credit Card Fraud Detection Using ANN,2012,Computer Science
Windows Monitoring Utility,2012,Computer Science
Student-Teacher Interaction System (Cloud),2012,Computer Science
Data Manipulation for BI,2012,Computer Science
Web Service Composition,2012,Computer Science
Progate_ Desktop Sharing and Remote Meeting,2012,Computer Science
Monitor Processes,2012,Computer Science
Content Mgmt System for George Wash University,2012,Computer Science
NGO Website,2012,Computer Science
Soft-Error-Resilient FPGAs Using Built-In 2-D Hamming Product Code,2012,VLSI
A New VLSI Architecture of Parallel Multiplier–Accumulator Based on Radix-2 Modified Booth Algorithm,2012,VLSI
Digital Filter Implementation Based on the RNS with Diminished-1 Encoded Channel,2012,VLSI
Pipelined Parallel FFT Architectures via Folding Transformation,2012,VLSI
Low-Power Pulse-Triggered Flip-Flop Design Based on a Signal Feed-Through Scheme,2012,VLSI
Toeplitz Matrix Approach for Binary Field Multiplication Using Quadrinomials,2012,VLSI
VLSI Architecture of Arithmetic code used in SPHIT,2012,VLSI
NEW BREED OF NETWORK FAULT TOLERANT VOLTAGE-SOURCE-CONVERTER HVDC TRANSMISSION SYSTEM ,2013,Power Electronics
Improved Active Power Filter Performance for Renewable Power Generation Systems,2013,Power Electronics
A Novel DC voltage control for STATCOM by using H-Bridge multilevel converter  ,2013,Power Electronics
Voltage unbalanced compensation using dynamic voltage restorerbased on super capacitor  ,2013,Power Electronics
A Modified Three-phase Four Wire UPQC Topology with Reduced DC-link Voltage Rating,2013,Power Electronics
DESIGN AND ANALYSIS OF DYNAMIC VOLTAGE RESTORER FOR DEEP VOLTAGE SAG AND HARMONIC COMPENSATION,2013,Power Electronics
A three-phase interleaved dc–dc converter with active clamp for fuel cells ,2013,Power Electronics
An Improved UPFC Control for Oscillation Damping ,2013,Power Electronics
Direct Power and Torque Control for Three-level NPC Based PWM ac/dc/ac Converter  ,2013,Power Electronics
Design of a hybrid pid plus fuzzy controller for speed control of induction Motors ,2013,Power Electronics
Switching losses and harmonic investigations in multilevel inverters IETE,2013,Power Electronics
Fuzzy logic based control of variable speed induction machine wind generation system ,2013,Power Electronics
Voltage flicker compensation using STATCOM ,2013,Power Electronics
Modeling and Real-Time Simulation of Non-Grid- Connected Wind Energy Conversion System ,2013,Power Electronics
Enhancement of power quality in distribution system using D-STATCOM ,2013,Power Electronics
An Improved UPFC Control for Oscillation Damping ,2013,Power Electronics
A Single-Phase Voltage-Controlled Grid-Connected Photovoltaic System With Power Quality Conditioner Functionality ,2013,Power Electronics
An Integrated Hybrid Power Supply for Distributed Generation Applications Fed by Nonconventional Energy Sources ,2013,Power Electronics
Dynamic Modeling and Simulation of Hybrid Power Systems Based on Renewable Energy ,2013,Power Electronics
Novel direct torque control based on space vector modulation with adaptive stator flux observer for induction motors ,2013,Power Electronics
Harmonic elimination in single phase systems by means of a hybrid series active filter (hsaf) ,2013,Power Electronics
An efficient ac–dc step-up converter for low-voltage energy harvesting ,2013,Power Electronics
Design of a hybrid pid plus fuzzy controller for speed control of induction Motors ,2013,Power Electronics
Power-management strategies for a grid-connected pv-fc hybrid system ,2013,Power Electronics
A Simplified Space -Vector PWM for Three Level Inverters Applied to Passive and Motor Load ,2013,Power Electronics
Analysis and Control of Buck-Boost Chopper Type AC Voltage Regulator ,2013,Power Electronics
Double Frequency Buck converter ,2013,Power Electronics
Modeling of FACTS Devices Based on SPWM VSCs ,2013,Power Electronics
A 28-pulse ac-dc converter based smps for telecom power supply (be press) ,2013,Power Electronics
A high performance induction motor drive system using fuzzy logic Controller ,2013,Power Electronics
An inrush mitigation technique of load transformers for the series voltage sag compensator ,2013,Power Electronics
Control scheme of cascaded h-bridge STATCOM using zero-sequence voltage and negative-sequence current ,2013,Power Electronics
High-efficiency voltage regulator for rural networks ,2013,Power Electronics
Implementation and control of an hybrid multilevel converter with floating dc-links for current waveform improvement ,2013,Power Electronics
Instantaneous power control of D-STATCOM with consideration of power factor correction ,2013,Power Electronics
High-Speed Low-Power Viterbi Decoder Design for TCM Decoders,2013,VLSI
Efficient Majority Logic Fault Detection With Difference-Set Codes for Memory Applications,2013,VLSI
Error Detection in Majority Logic Decoding of Euclidean Geometry Low Density Parity Check (EG-LDPC) Codes,2013,VLSI
Multi operand Redundant Adders on FPGAs,2013,VLSI
Data Encoding for Low-Power in Wormhole-Switched Networks-on- Chip,2013,VLSI
Low Complexity Digit Serial Systolic Montgomery Multipliers For Special Class Of GF(2M),2013,VLSI
Split-path Fused Floating Point Multiply Accumulate (FPMAC).,2013,VLSI
"Design of Digit-Serial FIR Filters: Algorithms, Architectures, and a CAD Tool.",2013,VLSI
Low Power and Design Reed –Solomon Encoder,2013,VLSI
Low Power 64bit Multiplier Design by Vedic Mathematics,2013,VLSI
VLSI implementation of Fast Addition using Quaternary Signed Digit Number System,2013,VLSI
An Efficient High Speed Wallace Tree Multiplier,2013,VLSI
Low Latency Systolic Montgomery Multiplier for finite Field GF (2m) Based on Pentanomials,2013,VLSI
Radix-4 and radix-8 booth encoded multi-modulus multipliers,2013,VLSI
Viterbi Based Efficient Test Data Compression,2013,VLSI
CORDIC Designs for Fixed Angle of Rotation,2013,VLSI
Product codes of MLC NAND  Flash  Memories,2013,VLSI
High Speed Parallel Decimal Multiplication with Redundant Internal Encodings,2013,VLSI
Scalable Digital CMOS Comparator Using a Parallel Prefix Tree,2013,VLSI
Design and Implementation of High-Speed and Energy-Efficient Variable-Latency Speculating Booth Multiplier (VLSBM).,2013,VLSI
New High-Speed Multioutput Carry Look-Ahead Adders,2013,VLSI
Modulo 2n-2 Arithmetic Units,2013,VLSI
A New RNS based DA Approach fo Inner Product Computation,2013,VLSI
FPGA Architecture for OFDM Software Defined Radio with an optimized Direct Digital Frequency Synthesizer,2013,VLSI
Design and Implementation of 32 Bit Unsigned Multiplier Using CLAA and CSLA,2013,VLSI
Energy-Efficient High-Throughput Montgomery Modular Multipliers for RSA Cryptosystems,2013,VLSI
A Single-Channel Architecture for Algebraic Integer Based 8 x 8 2-D DCT Computation,2013,VLSI
Low Power and Design Reed –Solomon Encoder,2013,VLSI
Design Of An On – Chip Permutation  Network For Multiprocessor Soc,2013,VLSI
A Practical NoC Design for Parallel DES Computation,2013,VLSI
Low-Power Logarithmic Number System Addition/Subtraction and their Impact on  Digital Filters,2013,VLSI
Constant Delay Logic,2013,VLSI
Parallel AES Encryption Engines for Many- Core Processor Arrays.,2013,VLSI
Efficient Authentication for Mobile and Pervasive Computing ,2014,Android Projects
Friend book: A Semantic-based Friend Recommendation System for Social Networks,2014,Android Projects
Innovative Schemes for Resource Allocation in the Cloud for Media Streaming Applications,2014,Android Projects
Efficient Authentication for Mobile and Pervasive Computing,2014,Android Projects
Smart DC Mobility Prediction-based Adaptive Duty Cycling for Everyday Location Monitoring,2014,Android Projects
LocaWard A Security and Privacy Aware Location-Based Rewarding System,2014,Android Projects
Enabling Trustworthy Service Evaluation in Service-Oriented Mobile Social Networks,2014,Android Projects
Discovering Emerging Topics in Social Streams via Link-Anomaly,2014,Android Projects
Cooperative Positioning and Tracking in Disruption Tolerant Networks,2014,Android Projects
MOSES: Supporting and Enforcing Security Profiles on Smart phones,2014,Android Projects
Certificateless Remote Anonymous Authentication Schemes for Wireless Body Area Networks,2014,Android Projects
SOS A Distributed Mobile Q&A System Based on Social Networks,2014,Android Projects
A Real-Time Adaptive Algorithm for Video Streaming over Multiple Wireless Access Networks,2014,Android Projects
"Improving Fairness, Efficiency, and Stability in HTTP-Based Adaptive Video Streaming With Festive",2014,Android Projects
Android College Campus,2014,Android Projects
E-Bridge,2014,Android Projects
Attendance Management System,2014,Android Projects
Contact and message getting using SMS,2014,Android Projects
Attendance and marks system,2014,Android Projects
Cab Services,2014,Android Projects
Friend Locator,2014,Android Projects
Power Saver,2014,Android Projects
GPS Based Friend Tracker,2014,Android Projects
Location Tracking Using SMS,2014,Android Projects
Location Based Voice Remainder,2014,Android Projects
Feedback System,2014,Android Projects
Budget Analyzer,2014,Android Projects
Mobile Location Alarm,2014,Android Projects
Location Based Voice Remainder,2014,Android Projects
Blood Connect,2014,Android Projects
Alert App,2014,Android Projects
Donor & Receiver,2014,Android Projects
Alarm App- Wake Up,2014,Android Projects
Mode Changer,2014,Android Projects
News App,2014,Android Projects
Women Safety App,2014,Android Projects
Project Interactive,2014,Android Projects
EAMCET,2014,Android Projects
Emergency Alarm And Health Care Management System,2014,Android Projects
College Alerts,2014,Android Projects
College Phone Book,2014,Android Projects
Secret Message Box (SMS Encryption Decryption),2014,Android Projects
Text -to-Voice Android Application,2014,Android Projects
Campus Mobile Application,2014,Android Projects
BRTS Service locator,2014,Android Projects
Nearest Hospitals and Doctors,2014,Android Projects
Security for Lost or Misplaced Mobile – iLocate,2014,Android Projects
Classroom Organizer,2014,Android Projects
Pet Tracker,2014,Android Projects
GRE App,2014,Android Projects
Agriculture Updates,2014,Android Projects
Task Tracer,2014,Android Projects
Food Freaks App,2014,Android Projects
"Stop Typing, Start Speaking – Voice To Text App",2014,Android Projects
Course Recommendation through Online,2014,Android Projects
Digicare,2014,Android Projects
Event Management System,2014,Android Projects
Food Application,2014,Android Projects
Hello Mind,2014,Android Projects
Alumni Event Management App,2014,Android Projects
Key – Aggregate Cryptosystem for Scalable Data Sharing in Cloud Storage ,2014,Cloud Computing
Decentralized Access Control with Anonymous Authentication of Data Stored in Clouds ,2014,Cloud Computing
A Hybrid Cloud Approach for Secure Authorized Deduplication,2014,Cloud Computing
Oruta: Privacy-Preserving Public Auditing for Shared Data in the Cloud ,2014,Cloud Computing
Privacy-Preserving Multi-Keyword Ranked Search over Encrypted Cloud Data,2014,Cloud Computing
Quality of Service Provision in Cloud-based Storage System for Multimedia Delivery ,2014,Cloud Computing
Scalable Distributed Service Integrity Attestation for Software-as-a-Service Clouds ,2014,Cloud Computing
Building Confidential And Efficient Query Services In The Cloud With RASP Data ,2014,Cloud Computing
A Stochastic Model to Investigate Data Center Performance Data ,2014,Cloud Computing
"Distributed , Concurrent , and Independent  Access to Encrypted Cloud Databases ",2014,Cloud Computing
"Expressive , Efficient , and Revocable Data Access Control for Multi – Authority Cloud Storage ",2014,Cloud Computing
Scalable Distributed Service Integrity Attestation for Software-as-a- Service Clouds ,2014,Cloud Computing
The Client Assignment Problem for Continuous Distributed Computing Systems,2014,Cloud Computing
Performance and cost evaluation of an adaptive encryption architecture for cloud databases ,2014,Cloud Computing
PACK Prediction-Based Cloud Bandwidth and Cost Reduction System ,2014,Cloud Computing
Modeling of Distributed File Systems for Practical Performance Analysis,2014,Cloud Computing
Secure Deduplication with Efficient and Reliable Convergent Key Management,2014,Cloud Computing
Transformation-Based Monetary Cost Optimizations for Workflows in the Cloud,2014,Cloud Computing
Privacy Preserving Back-Propagation Neural Network Learning Made Practical with Cloud Computing,2014,Cloud Computing
Application-Aware Local-Global Source Deduplication for Cloud Backup Services of Personal Storage (Cloud Java),2014,Cloud Computing
NCCloud: A Network Coding Based Storage System in a Cloud-of-Clouds,2014,Cloud Computing
Enabling Data Integrity Protection in Regenerating-Coding-Based Cloud Storage: Theory and Implementation,2014,Cloud Computing
Innovative Schemes for Resource Allocation in the Cloud for Media Streaming Applications,2014,Cloud Computing
Shared Authority Based Privacy-preserving Authentication Protocol in Cloud Computing,2014,Cloud Computing
Optimal Power Allocation and Load Distribution for Multiple Heterogeneous Multi core Server Processors across Clouds and Data Centers,2014,Cloud Computing
An Efficient and Trustworthy Resource Sharing Platform for Collaborative Cloud Computing,2014,Cloud Computing
On the Knowledge Soundness of a Cooperative Provable Data Possession Scheme in Multi cloud Storage,2014,Cloud Computing
Identity Based Distributed Provable Data Possession in Multi-Cloud Storage,2014,Cloud Computing
A Social Compute Cloud: Allocating and Sharing Infrastructure Resources via Social Networks,2014,Cloud Computing
Secure kNN Query Processing in Un trusted Cloud Environments,2014,Cloud Computing
A Mechanism Design Approach to Resource Procurement in Cloud Computing,2014,Cloud Computing
A Secure Client Side De duplication Scheme in Cloud Storage Environments,2014,Cloud Computing
Securing the cloud storage audit service: defending against frame and collude attacks of third party auditor,2014,Cloud Computing
"Expressive, Efficient, and Revocable Data Access Control for Multi-Authority Cloud Storage",2014,Cloud Computing
Shared Authority Based Privacy-preserving Authentication Protocol in Cloud Computing,2014,Cloud Computing
 A Novel Economic Sharing Model in a Federation of Selfish Cloud Providers ,2014,Cloud Computing
 A UCONABC Resilient Authorization Evaluation for Cloud Computing ,2014,Cloud Computing
 Achieving Effective Cloud Search Services,2014,Cloud Computing
Top-k Query Result Completeness Verification in Tiered Sensor Networks ,2014,Communications
Optimized multicast routing algorithm based on tree structure in MANETs ,2014,Communications
Accuracy Constrained Privacy-Preserving Access Control Mechanism for Relational Data ,2014,Data Mining
Supporting Privacy Protection in Personalized Web Search ,2014,Data Mining
Security Evaluation of Pattern Classifiers under Attack ,2014,Data Mining
Approximate Shortest Distance Computing: A Query-Dependent Local Landmark Scheme   ,2014,Data Mining
An Empirical Performance Evaluation of Relational Keyword Search Systems ,2014,Data Mining
Efficient Prediction of Difficult Keyword Queries over Databases ,2014,Data Mining
Keyword Query Routing ,2014,Data Mining
Fast Nearest Neighbor Search with Keywords ,2014,Data Mining
Privacy-Preserving and Content-Protecting Location Based Queries ,2014,Data Mining
Towards Online Shortest Path Computation ,2014,Data Mining
Best Peer++: A Peer-to-Peer Based Large-Scale Data Processing Platform ,2014,Data Mining
Data Mining with Big Data ,2014,Data Mining
Facilitating Document Annotation Using Content and Querying Value ,2014,Data Mining
Secure Mining of Association Rules in Horizontally Distributed Databases ,2014,Data Mining
Trusted DB-A trusted hardware based database with privacy and confidentiality ,2014,Data Mining
A Cocktail Approach for Travel Package Recommendation ,2014,Data Mining
Discovering Emerging Topics in Social Streams via Link-Anomaly Detection ,2014,Data Mining
Accuracy-Constrained Privacy-Preserving Access Control Mechanism for Relational Data ,2014,Data Mining
Efficient Instant-Fuzzy Search with Proximity Ranking ,2014,Data Mining
Facilitating Document Annotation Using Content and Querying Value,2014,Data Mining
Set Predicates in SQL: Enabling Set-Level Comparisons for Dynamically Formed Groups,2014,Data Mining
Product Aspect Ranking and Its Applications,2014,Data Mining
Interpreting the Public Sentiment Variations on Twitter,2014,Data Mining
Infrequent Weighted Itemset Mining Using Frequent Pattern Growth,2014,Data Mining
An Efficient Certificate less Encryption for Secure Data Sharing in Public Clouds,2014,Data Mining
Efficient Ranking on Entity Graphs with Personalized Relationships,2014,Data Mining
Privacy-Preserving Authenticated Key-Exchange Over Internet.,2014,Data Mining
Efficient Instant-Fuzzy Search with Proximity Ranking,2014,Data Mining
Temporal Workload-Aware Replicated Partitioning for Social Networks,2014,Data Mining
Distributed Web Systems Performance Forecasting Using Turning Bands Method,2014,Data Mining
Distributed Processing of Probabilistic Top-k Queries in Wireless Sensor Networks,2014,Data Mining
A Group Incremental Approach to Feature Selection Applying Rough Set Technique,2014,Data Mining
"Rough Sets, Kernel Set, and Spatiotemporal Outlier Detection",2014,Data Mining
Fast nearest Neighbor Search with Keywords,2014,Data Mining
Efficient Prediction of Difficult Keyword Queries over Databases,2014,Data Mining
Web Service Recommendation via Exploiting Location and QoS Information,2014,Data Mining
 An Empirical Performance Evaluation of Relational Keyword Search Systems ,2014,Data Mining
 Supporting Privacy Protection in Personalized Web Search ,2014,Data Mining
 Building Confidential And Efficient Query Services In The Cloud With RASP Data ,2014,Data Mining
 An Empirical Performance Evaluation of Relational Keyword Search Techniques ,2014,Data Mining
 LARS An Efficient and Scalable Location-Aware Recommender System ,2014,Data Mining
 Building Confidential and Efficient Query Services in the Cloud with RASP Data Perturbation ,2014,Data Mining
 Consensus-Based Ranking of Multivalued Objects: A Generalized Borda Count Approach ,2014,Data Mining
 Accuracy-Constrained Privacy-Preserving Access Control Mechanism for Relational Data ,2014,Data Mining
 Mining Weakly Labeled Web Facial Images for Search-Based Face Annotation ,2014,Data Mining
 A Food Recognition System for Diabetic Patients Based on an Optimized Bag-of Features Model,2014,Data Mining
Secure Two-Party Differentially Private Data Release for Vertically Partitioned Data,2014,Dependable and Secure Computing
Bandwidth Distributed Denial of Service: Attacks and Defenses (Dependable and secure computing,2014,Dependable and Secure Computing
k-Zero Day Safety: A Network Security Metric for Measuring the Risk of Unknown Vulnerabilities,2014,Dependable and Secure Computing
Basic Concepts of Motor,2014,Electrical Drives/Machines
AC/DC motors,2014,Electrical Drives/Machines
Modeling of Induction Motors,2014,Electrical Drives/Machines
Electrical Drives,2014,Electrical Drives/Machines
Various speed controlling techniques of AC/DC motors,2014,Electrical Drives/Machines
Fuzzy/Neural Networks,2014,Electrical Drives/Machines
Various speed controlling techniques of AC/DC motors,2014,Electrical Drives/Machines
Fuzzy/Neural Networks,2014,Electrical Drives/Machines
Advanced Control Scheme for an IPM Synchronous Generator-Based Gearless Variable Speed Wind Turbine ,2014,Electrical Drives/Machines
Control scheme for a stand-alone wind energy conversion system ,2014,Electrical Drives/Machines
Voltage Source Converter Topology for High-Power Applications Serializing Three-Phase Converters and H-Bridges ,2014,Electrical Drives/Machines
Topology and Modulation for a New Multilevel Diode-Clamped Matrix Converter ,2014,Electrical Drives/Machines
New Three-Phase Multilevel Inverter With Reduced Number of Power Electronic Components ,2014,Electrical Drives/Machines
Solar PV and Battery Storage Integration using a New Configuration of a Three-Level NPC Inverter With Advanced Control Strategy  ,2014,Electrical Drives/Machines
A single-phase voltage controlled grid-connected photo voltaic system with power quality conditioner functionality ,2014,Electrical Drives/Machines
High frequency AC-Link PV Inverter  ,2014,Electrical Drives/Machines
Pulse width modulation of Z-source inverters with minimum inductor current ripple ,2014,Electrical Drives/Machines
Zero voltage switching Technique for Bidirectional DC/DC converters  ,2014,Electrical Drives/Machines
Steady State Space Analysis of RLC Circuits,2014,Electronics
Click Prediction for Web Image Reranking Using Multimodal Sparse Coding ,2014,Image Processing
Captcha as Graphical Passwords-A New Security Primitive Based on Hard AI Problems ,2014,Image Processing
Vector-Valued Image Processing by Parallel Level Sets,2014,Image Processing
Accelerated Learning-Based Interactive Image Segmentation Using Pairwise Constraints,2014,Image Processing
Large Discriminative Structured Set Prediction Modeling With Max-Margin Markov Network for Lossless Image Coding,2014,Image Processing
Image Reconstruction from Double Random Projection,2014,Image Processing
Saliency-Aware Video Compression,2014,Image Processing
Translation Invariant Directional Framelet Transform Combined With Gabor Filters for Image Denoising.,2014,Image Processing
Web Image Re-Ranking Using Query-Specific Semantic Signatures,2014,Image Processing
Learning and Recognition of On-Premise Signs from Weakly Labeled Street View Images,2014,Image Processing
Multi sensor Fusion-Based Concurrent Environment Mapping and Moving Object Detection for Intelligent Service Robotics (Dot Net),2014,Image Processing
Sharing Visual Secrets in Single Image Random Dot Stereograms (Dot Net),2014,Image Processing
Feature Match: A General ANNF Estimation Technique and its Applications (Dot Net),2014,Image Processing
 Click Prediction for Web Image Reranking Using Multimodal Sparse Coding ,2014,Image Processing
 Mining Weakly Labeled Web Facial Images for Search-Based Face Annotation,2014,Image Processing
 Sharing Visual Secrets in Single Image Random Dot Stereograms,2014,Image Processing
 Uniform Embedding for Efficient JPEG Steganography,2014,Image Processing
CLOUDQUAL A Quality Model for Cloud Services                                                                 ,2014,Industrial Informatics    
Secure Data Aggregation in Wireless Sensor Networks Filtering out the Attacker’s Impact  ,2014,Information Forensics & Security
Privacy-Preserving Optimal Meeting Location Determination on Mobile Devices ,2014,Information Forensics & Security
 Captcha as Graphical Passwords—A New Security Primitive Based on Hard AI Problems ,2014,Information Forensics & Security
 Designing an Efficient Image Encryption-Then-Compression System via Prediction ,2014,Information Forensics & Security
 Online Payment System using Steganography and Visual Cryptography,2014,Information Forensics & Security
 Fast and Secure Multihop Broadcast Solutions for Intervehicular Communication ,2014,Intelligent Transportation Systems
Adaptation of a virtual campus for mobile learning devices,2014,J2ME Mobile Based Projects
Bluetooth Mobile Based College Campus,2014,J2ME Mobile Based Projects
ECops via Handheld Mobile Devices,2014,J2ME Mobile Based Projects
Privacy-Conscious Location-Based Queries in Mobile Environments,2014,J2ME Mobile Based Projects
Ranking Model Adaptation for Domain-Specific Search,2014,J2ME Mobile Based Projects
SPOC A Secure and Privacy-preserving Opportunistic Computing Framework For Mobile-Healthcare Emergency,2014,J2ME Mobile Based Projects
The Word in a nut shell : CONCISE RANGE QUERIES,2014,J2ME Mobile Based Projects
Personalized Geo-Specific Tag Recommendation for Photos on Social Websites ,2014,Java
Cooperative Caching for Efficient Data Access in Disruption Tolerant Networks ,2014,Mobile Computing
Friend book: A Semantic-based Friend Recommendation System for Social Networks ,2014,Mobile Computing
Leveraging Social Networks for P2P Content based File Sharing in Disconnected MANETs ,2014,Mobile Computing
An Incentive Framework for Cellular Traffic Offloading ,2014,Mobile Computing
A Qos-Oriented Distributed Routing Protocol For Hybrid Wireless Networks ,2014,Mobile Computing
Optimal Distributed Malware Defense in Mobile Networks with Heterogeneous Devices,2014,Mobile Computing
Preserving Location Privacy in Geo-Social Applications ,2014,Mobile Computing
Keylogging-resistant Visual Authentication Protocols ,2014,Mobile Computing
Cloud-Assisted Mobile-Access of Health Data With Privacy and Auditability ,2014,Mobile Computing
Cooperative Spectrum Sharing: A Contract-Based Approach,2014,Mobile Computing
Video Dissemination over Hybrid Cellular and Ad Hoc Networks,2014,Mobile Computing
Security Analysis of Handover Key Management in 4G LTESAE Networks ,2014,Mobile Computing
 Autonomous Mobile Mesh Networks ,2014,Mobile Computing
 Leveraging Social Networks for P2P Content-Based File Sharing in Disconnected MANETs ,2014,Mobile Computing
 A QoS-Oriented Distributed Routing Protocol for Hybrid Wireless Networks ,2014,Mobile Computing
 DA-Sync: A Doppler-Assisted Time-Synchronization Scheme for Mobile Underwater Sensor Networks ,2014,Mobile Computing
 Optimal Coordination of Mobile Sensors for Target Tracking Under Additive and Multiplicative Noises,2014,Mobile Computing
